Respondents ,M1,M2,M3,M4,M5,M6,M7,E1,E2,E3,E4,PQ1,PQ2,PQ3,PQ4,PQ5,PQ6,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,LC1,LC2,LC3,LC4,LC5
97,4,4,5,4,3,3,4,4,4,5,4,2,4,5,3,2,2,2,2,5,5,4,3,3,4,4,4,5,4,2
98,2,2,4,3,3,3,3,3,3,4,2,2,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,2,2
99,4,4,4,4,5,4,2,3,3,4,4,2,2,3,2,4,4,3,4,3,3,4,5,4,2,3,3,4,4,2
100,1,1,2,1,2,2,1,1,1,5,2,1,1,5,5,3,5,1,5,2,5,1,2,2,1,1,1,5,2,1
101,2,2,3,3,4,4,2,1,2,3,3,2,2,3,3,4,3,3,3,2,3,3,4,4,2,1,2,3,3,2
102,4,3,4,4,3,3,4,4,3,4,3,3,2,4,3,4,3,3,4,2,2,4,3,3,4,4,3,4,3,3
103,1,5,3,3,3,3,4,4,4,4,4,3,4,4,3,5,5,3,5,4,4,3,3,3,3,3,3,3,3,3
104,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
105,4,4,4,3,3,3,4,3,3,5,2,2,5,5,2,4,4,3,4,4,4,4,3,3,4,3,3,5,4,2
106,2,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,4,4,4,5,4,4,4,4,4,4,4
107,2,5,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4
108,4,5,5,3,5,4,4,5,3,5,5,5,5,5,5,3,5,3,5,5,5,3,5,4,4,4,3,4,4,4
109,3,3,4,5,5,5,4,3,3,4,4,3,3,5,5,5,5,5,5,3,3,5,5,5,3,3,3,4,4,3
110,2,5,4,5,5,5,5,5,4,4,5,5,5,4,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4
111,4,3,4,4,5,4,4,4,3,4,3,4,3,4,5,5,5,4,4,4,3,4,5,4,4,4,3,4,3,4
112,2,4,4,3,3,4,3,3,2,5,3,2,2,3,3,5,5,5,5,5,5,3,3,4,3,3,2,5,3,2
113,2,4,4,4,4,5,4,4,4,3,3,3,2,3,3,4,4,3,4,3,3,4,4,5,3,2,2,3,3,3
114,2,4,5,5,5,5,5,4,4,5,3,4,4,5,5,5,5,5,5,5,2,5,5,5,5,4,4,5,3,4
115,3,3,4,4,4,4,3,3,3,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,3
116,4,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
117,2,2,3,4,4,4,5,3,3,4,2,3,3,4,3,5,3,4,4,3,5,4,4,4,4,3,3,4,2,3
118,1,5,5,3,3,3,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4
119,4,4,4,5,5,2,2,2,2,5,5,5,5,5,3,4,4,4,5,4,5,5,4,4,4,4,4,5,4,4
120,2,2,4,4,3,3,2,2,2,3,4,2,5,3,3,4,4,2,3,5,2,4,3,3,4,4,4,3,4,2
121,4,4,5,4,3,3,4,4,4,5,4,5,4,5,3,2,2,2,2,5,5,4,3,3,4,4,4,5,4,2
122,2,2,4,3,3,3,3,3,3,4,2,5,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,2,2
123,4,4,4,4,5,4,2,3,3,4,4,2,2,3,2,4,4,3,4,3,3,4,5,4,2,3,3,4,4,2
124,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,3,5,1,5,2,5,1,2,2,1,1,1,5,2,1
125,2,2,3,3,4,4,2,5,2,3,3,2,2,3,3,4,3,3,3,2,3,3,4,4,2,1,2,3,3,2
126,4,3,4,4,3,3,4,4,3,4,3,3,2,4,3,4,3,3,4,2,2,4,3,3,4,4,3,4,3,3
127,1,1,3,3,3,3,3,3,3,3,3,3,4,4,3,5,5,3,5,4,4,3,3,3,3,3,3,3,3,3
128,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129,4,3,4,3,3,3,2,3,3,5,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,5,4,5
130,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4
131,2,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4
132,4,5,5,3,5,4,4,4,3,4,4,4,4,1,1,3,5,3,5,5,5,3,5,4,4,4,4,4,5,5
133,3,5,5,5,5,5,3,3,3,4,4,3,3,5,5,5,5,5,5,3,3,5,5,5,3,3,3,4,4,3
134,2,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,2,4,4,2,2
135,4,3,4,4,5,4,4,4,3,4,3,4,3,4,5,5,5,4,4,4,3,4,5,4,4,4,3,4,3,4
136,2,5,4,3,3,4,3,3,2,5,3,2,2,3,3,5,5,5,5,5,5,3,3,4,3,3,5,5,3,2
137,2,2,2,4,4,5,3,5,5,3,3,3,2,3,3,4,4,3,4,3,3,4,4,5,3,5,5,3,3,3
138,2,2,5,5,5,5,5,4,4,5,3,4,4,5,5,5,5,5,5,5,2,5,5,5,5,4,4,5,3,4
139,3,3,4,4,4,4,3,3,3,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,3
140,4,4,5,4,4,2,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4
141,2,4,4,4,4,4,2,3,3,4,4,3,3,4,3,1,3,3,2,3,5,4,4,4,2,3,4,4,4,4
142,1,4,5,3,3,3,5,5,5,5,5,5,4,4,5,5,5,5,3,4,4,3,3,3,4,4,4,5,4,4
143,4,4,4,5,5,4,4,2,2,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,2,2,4,5,4,4
144,2,4,4,4,3,3,4,2,2,3,4,4,2,3,4,4,4,2,3,4,2,4,3,3,2,2,4,3,4,4
145,4,4,5,4,3,3,4,4,4,5,4,4,4,5,3,4,4,4,4,5,5,4,3,3,4,4,4,5,4,4
146,2,4,4,3,3,3,3,3,3,4,2,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,4,4
147,4,4,4,4,5,4,4,3,3,4,4,4,2,3,2,4,4,3,4,3,3,4,5,4,2,3,3,4,4,2
148,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,2,4,4,1,5,4,4
149,2,4,3,3,4,4,4,5,4,3,5,4,5,3,3,4,3,3,3,2,3,3,4,4,4,1,4,3,3,4
150,4,3,4,4,3,3,4,5,3,4,3,3,4,4,3,4,3,3,4,2,2,4,3,3,4,4,3,4,3,3
151,1,4,3,3,3,3,3,3,3,3,3,3,4,4,3,5,5,3,5,4,4,3,3,3,3,3,3,3,3,3
152,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153,4,3,4,3,3,3,4,4,4,5,4,4,4,4,2,4,4,3,4,4,4,3,3,3,2,3,3,5,4,4
154,2,5,4,5,5,5,5,5,5,4,5,5,2,2,4,5,5,3,5,4,4,4,5,4,4,4,4,4,4,4
155,2,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4
156,4,5,5,3,5,5,5,5,3,1,5,5,4,4,4,3,5,3,5,5,5,3,5,4,4,4,3,1,4,4
157,3,3,3,5,5,5,3,3,3,4,4,3,3,5,5,5,5,5,5,3,3,5,5,5,3,3,3,4,4,3
